2023-11-02 12:41:56,741 INFO [test_flights_search] | test_flights_search.py(test_flights_search:56) | - number of adults are  1
2023-11-02 12:41:56,940 INFO [test_flights_search] | test_flights_search.py(test_flights_search:61) | - number of children are  1
2023-11-02 12:41:57,080 INFO [test_flights_search] | test_flights_search.py(test_flights_search:66) | - number of infants are  1
2023-11-02 13:32:33,418 INFO [test_flights_search] | test_flights_search.py(test_flights_search:25) | - Entering FLIGHTS page
2023-11-02 13:32:33,534 INFO [test_flights_search] | test_flights_search.py(test_flights_search:28) | - flights type selected is: Economy
2023-11-02 13:32:33,963 INFO [test_flights_search] | test_flights_search.py(test_flights_search:32) | - one way is selected
2023-11-02 13:32:34,223 INFO [test_flights_search] | test_flights_search.py(test_flights_search:39) | - flying from SYD
2023-11-02 13:32:34,355 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - destination to DEL
2023-11-02 13:32:34,540 INFO [test_flights_search] | test_flights_search.py(test_flights_search:47) | - depart date is  30/10/2023
2023-11-02 13:32:34,788 INFO [test_flights_search] | test_flights_search.py(test_flights_search:57) | - number of adults are  1
2023-11-02 13:32:34,950 INFO [test_flights_search] | test_flights_search.py(test_flights_search:62) | - number of children are  1
2023-11-02 13:32:35,102 INFO [test_flights_search] | test_flights_search.py(test_flights_search:67) | - number of infants are  1
2023-11-03 11:51:05,393 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-03 11:51:05,547 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-03 11:51:05,985 INFO [test_flights_search] | test_flights_search.py(test_flights_search:34) | - one way is selected
2023-11-03 11:51:06,204 INFO [test_flights_search] | test_flights_search.py(test_flights_search:41) | - flying from SYD
2023-11-03 11:51:06,350 INFO [test_flights_search] | test_flights_search.py(test_flights_search:45) | - destination to DEL
2023-11-03 11:51:06,498 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - depart date is  30/10/2023
2023-11-03 11:51:06,792 INFO [test_flights_search] | test_flights_search.py(test_flights_search:59) | - number of adults are  1
2023-11-03 11:51:06,951 INFO [test_flights_search] | test_flights_search.py(test_flights_search:64) | - number of children are  1
2023-11-03 11:51:07,095 INFO [test_flights_search] | test_flights_search.py(test_flights_search:69) | - number of infants are  1
2023-11-03 11:53:49,284 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-03 11:53:49,893 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
